unid;wbid;country;year;SES;gdppc
4;AFG;Afghanistan;1970;3.4742124;709
4;AFG;Afghanistan;1920;26.968016;731.75677
4;AFG;Afghanistan;1990;1.2695296;604
4;AFG;Afghanistan;1960;15.763076;739
4;AFG;Afghanistan;2000;2.0611143;565
4;AFG;Afghanistan;2010;5.6763997;1662.8035
4;AFG;Afghanistan;1880;37.957447;585.46509
4;AFG;Afghanistan;1940;14.320977;673.91895
4;AFG;Afghanistan;1890;29.591391;635.93024
4;AFG;Afghanistan;1980;3.4650476;690
4;AFG;Afghanistan;1930;15.306766;702.83783
4;AFG;Afghanistan;1950;23.424145;645
4;AFG;Afghanistan;1900;28.104797;686.39532
4;AFG;Afghanistan;1910;26.9876;736.86047
24;AGO;Angola;2010;21.247763;6492.1768
24;AGO;Angola;1930;24.175644;747.81482
24;AGO;Angola;1920;24.223469;682.62964
24;AGO;Angola;1970;30.052431;1768
24;AGO;Angola;1960;27.918711;1253
24;AGO;Angola;1950;28.05554;1052
24;AGO;Angola;1880;11.459789;533.66669
24;AGO;Angola;2000;29.470123;3831
24;AGO;Angola;1990;31.855452;4806.4302
24;AGO;Angola;1980;13.219266;961
24;AGO;Angola;1910;14.800509;628.69232
24;AGO;Angola;1890;23.73538;567.33331
24;AGO;Angola;1900;24.152035;601
24;AGO;Angola;1940;23.714304;813
8;ALB;Albania;1890;67.889656;598
8;ALB;Albania;1950;67.035362;1001
8;ALB;Albania;1900;68.291382;685
8;ALB;Albania;1990;72.882904;4557.4082
8;ALB;Albania;1980;69.502441;2347
8;ALB;Albania;1930;65.956871;929.57141
8;ALB;Albania;1910;67.64238;780
8;ALB;Albania;1880;41.783779;522
8;ALB;Albania;1940;66.797325;965.28571
8;ALB;Albania;2010;74.860367;9927.1758
8;ALB;Albania;1920;66.318832;861.3125
8;ALB;Albania;2000;72.464691;5470.0176
8;ALB;Albania;1970;68.380905;2004
8;ALB;Albania;1960;69.429123;1451
784;ARE;United Arab Emirates;1880;61.117687;811.76746
784;ARE;United Arab Emirates;1990;84.87999;114518.83
784;ARE;United Arab Emirates;1970;65.780487;24552
784;ARE;United Arab Emirates;1950;63.099766;15798
784;ARE;United Arab Emirates;1910;44.850441;1021.0698
784;ARE;United Arab Emirates;1920;58.040146;3833.6758
784;ARE;United Arab Emirates;1980;68.182907;27709
784;ARE;United Arab Emirates;2010;89.092285;57406.738
784;ARE;United Arab Emirates;1940;54.425358;11809.892
784;ARE;United Arab Emirates;2000;88.567055;107206.46
784;ARE;United Arab Emirates;1900;58.4879;951.30231
784;ARE;United Arab Emirates;1960;64.404724;22433
784;ARE;United Arab Emirates;1930;62.76598;7821.7837
784;ARE;United Arab Emirates;1890;59.648911;881.53491
32;ARG;Argentina;1900;75.783241;2756
32;ARG;Argentina;1980;80.478775;8206
32;ARG;Argentina;1990;78.615967;10833.503
32;ARG;Argentina;1910;78.436638;3822
32;ARG;Argentina;2010;79.750809;18794.27
32;ARG;Argentina;1960;83.116188;5559
32;ARG;Argentina;1890;76.156998;2152
32;ARG;Argentina;1920;80.677177;3473
32;ARG;Argentina;2000;80.109383;14924.374
32;ARG;Argentina;1930;81.207291;4080
32;ARG;Argentina;1970;79.346939;7302
32;ARG;Argentina;1940;82.258247;4161
32;ARG;Argentina;1880;77.89415;1731.5
32;ARG;Argentina;1950;83.055931;4987
51;ARM;Armenia;1920;71.793861;1432.9333
51;ARM;Armenia;1890;75.902946;1139
51;ARM;Armenia;1960;83.671188;3945
51;ARM;Armenia;1910;73.819855;1430.0769
51;ARM;Armenia;1950;78.37162;2841
51;ARM;Armenia;1980;83.337685;6116.5884
51;ARM;Armenia;1930;70.480736;1448
